POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3 Sep 2020 (Thu),992,1000/-549,111.6 (0.47%),20.74 - 20.38,Day Open > PDH,-110.05 (23755.45-23645.40),-1250.00 (123.15-173.15 = 50.00) 23800PE 11:32:00,2242.50 (91.2-1.5 = -89.70) 23800CE,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
4 Sep 2020 (Fri),-2500,2829/-2500,-411.7 (-1.75%),21.77 - 22.36,Day Open < PDL,-91.90 (23131.35-23039.45),-1250.00 (419.15-469.15 = 50.00) 23100PE 14:40:00,-1250.00 (451.15-501.15 = 50.00) 23100CE 12:55:00,,,,,
7 Sep 2020 (Mon),2477,3247/-868,24.75 (0.11%),22.88 - 22.5,-,-244.80 (23040.85-22796.05),-1250.00 (351.85-401.85 = 50.00) 23000PE 10:53:00,3727.50 (393.1-244 = -149.10) 23000CE,,,,,
8 Sep 2020 (Tue),-1642,1458/-2000,26.15 (0.11%),21.99 - 22.11,-,-100.40 (22888.90-22788.50),-392.50 (299.35-315.05 = 15.70) 22900PE,-1250.00 (286.6-336.6 = 50.00) 22900CE 10:31:00,,,,,
9 Sep 2020 (Wed),1158,2035/-90,-257.7 (-1.13%),23.05 - 22.47,Day Open < PDL,-120.95 (22297.00-22176.05),-1250.00 (219.15-269.15 = 50.00) 22300PE 13:00:00,2408.75 (241.55-145.2 = -96.35) 22300CE,,,,,
10 Sep 2020 (Thu),-2499,551/-2499,199.55 (0.9%),21.43 - 21.25,-,-30.15 (22417.30-22387.15),-1250.00 (83.95-133.95 = 50.00) 22400PE 13:26:00,-1250.00 (106.9-156.9 = 50.00) 22400CE 10:43:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
