POSITIONS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Thu Jul 16 2020,,,,,,,,,,,,
To Date,Fri Jul 16 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
 Stop Loss,,,,,,,,,,,,,
Target Profit, ,,, ,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10 Sep 2020 (Thu),-1431,1000/-1430,199.55 (0.9%),21.43 - 21.25,-,-30.15 (22417.30-22387.15),-629.75 (83.95-109.14 = 25.19) 22400PE 13:25:00,-801.75 (106.9-138.97 = 32.07) 22400CE 10:39:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
11 Sep 2020 (Fri),877,987/-752,43.75 (0.19%),21.32 - 20.83,-,-24.10 (22383.80-22359.70),547.50 (363-341.1 = -21.90) 22400PE,330.00 (352-338.8 = -13.20) 22400CE,,,,,
14 Sep 2020 (Mon),1342,2241/-1020,203.4 (0.9%),20.63 - 21.19,Day Open > PDH,-386.75 (22553.75-22167.00),-2121.50 (282.85-367.71 = 84.86) 22600PE 13:15:00,3463.75 (329.05-190.5 = -138.55) 22600CE,,,,,
15 Sep 2020 (Tue),957,1553/-59,101.55 (0.46%),20.82 - 20.65,-,196.60 (22236.00-22432.60),3487.50 (281.45-141.95 = -139.50) 22200PE,-2529.75 (337.3-438.49 = 101.19) 22200CE 14:38:00,,,,,
16 Sep 2020 (Wed),-3211,493/-3211,10.65 (0.05%),20.39 - 19.75,-,146.20 (22461.60-22607.80),-1685.25 (224.7-292.11 = 67.41) 22500PE 11:12:00,-1526.25 (203.5-264.55 = 61.05) 22500CE 14:15:00,,,,,
17 Sep 2020 (Thu),732,1581/-1537,-221.55 (-0.98%),19.89 - 20.15,-,-29.05 (22378.80-22349.75),1497.50 (112.05-52.15 = -59.90) 22400PE,-765.00 (102-132.6 = 30.60) 22400CE 10:31:00,,,,,
,,,,,,,,,,,,,
Date,Profit,Max Profit/Loss,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,,,,,
18 Sep 2020 (Fri),1550,2487/-958,119 (0.53%),19.54 - 20.31,-,-411.10 (22404.45-21993.35),-2406.00 (320.8-417.04 = 96.24) 22400PE 14:20:00,3956.25 (384.65-226.4 = -158.25) 22400CE,,,,,
21 Sep 2020 (Mon),2114,2805/-463,-47.65 (-0.22%),20.3 - 21.81,-,-439.55 (21914.10-21474.55),-2407.50 (321-417.3 = 96.30) 21900PE 13:48:00,4522.50 (345-164.1 = -180.90) 21900CE,,,,,
22 Sep 2020 (Tue),-4879,707/-4879,78.45 (0.37%),22.7 - 21.71,-,-145.15 (21228.05-21082.90),-2185.25 (291.35-378.76 = 87.41) 21200PE 14:37:00,-2694.00 (359.2-466.96 = 107.76) 21200CE 10:06:00,,,,,
23 Sep 2020 (Wed),-326,2007/-750,211.7 (1%),20.68 - 21.21,-,4.75 (21156.10-21160.85),-1575.00 (210-273 = 63.00) 21200PE 13:41:00,1248.75 (197-147.05 = -49.95) 21200CE,,,,,
24 Sep 2020 (Thu),1794,1796/-140,-279.7 (-1.32%),21.68 - 23.11,-,-295.25 (20892.35-20597.10),-820.75 (109.45-142.28 = 32.83) 20900PE 10:26:00,2615.00 (105.45-0.85 = -104.60) 20900CE,,,,,
,,,,,,,,,,,,,
