POSITIONS,,,,,,,,,,,,,
Strategy Type, Intraday,,,,,,,,,,,,
Square Off,Leg,,,,,,,,,,,,
,,,,,,,,,,,,,
Move SL to Cost,False,,,,,,,,,,,,
,,,,,,,,,,,,,
Lot Size, Action Type, Segment, Option Type, Target Profit, Stop Loss, Index, Expiry Type,,,,,,
1,SELL,Options,PUT,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,30 %,Banknifty,Weekly,,,,,,
1,SELL,Options,CALL,,50 pts,Banknifty,Weekly,,,,,,
1,SELL,Options,PUT,,50 pts,Banknifty,Weekly,,,,,,
,,,,,,,,,,,,,
From Date,Tue Jul 14 2020,,,,,,,,,,,,
To Date,Wed Jul 14 2021,,,,,,,,,,,,
Entry Time,09:59,,,,,,,,,,,,
Exit Time,14:55,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Profit,0,,,,,,,,,,,,
 Stop Loss, 2500 Total MTM,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10 Aug 2020 (Mon),-757,14:55,2303/-1661,-,70.9 (0.33%),22.79 - 22.17,Day Open > PDH,-41.00 (21985.05-21944.05),-2305.25 (307.35-399.56 = 92.21) 22000PE 14:13:00,1398.75 (331.95-276 = -55.95) 22000CE,1398.75 (331.95-276 = -55.95) 22000CE,-1250.00 (307.35-357.35 = 50.00) 22000PE 14:12:00,
11 Aug 2020 (Tue),1559,14:55,2684/0,-,149.95 (0.68%),21.42 - 21.37,-,119.95 (22135.40-22255.35),2018.75 (217.25-136.5 = -80.75) 22100PE,-1227.50 (290.9-340 = 49.10) 22100CE,-1250.00 (290.9-340.9 = 50.00) 22100CE 14:46:00,2018.75 (217.25-136.5 = -80.75) 22100PE,
12 Aug 2020 (Wed),3137,14:55,3848/-48,-,-91.25 (-0.41%),21.82 - 20.87,-,102.55 (22160.75-22263.30),2870.00 (219.6-104.8 = -114.80) 22200PE,-1352.25 (180.3-234.39 = 54.09) 22200CE 12:38:00,-1250.00 (180.3-230.3 = 50.00) 22200CE 12:38:00,2870.00 (219.6-104.8 = -114.80) 22200PE,
13 Aug 2020 (Thu),3461,14:55,3473/-50,-,131.2 (0.59%),20.47 - 20.61,Day Open > PDH,-173.90 (22387.30-22213.40),-793.75 (105.85-137.6 = 31.75) 22400PE 11:40:00,2752.50 (111.35-1.25 = -110.10) 22400CE,2752.50 (111.35-1.25 = -110.10) 22400CE,-1250.00 (105.85-155.85 = 50.00) 22400PE 11:40:00,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
14 Aug 2020 (Fri),5389,14:55,5839/-637,-,138.6 (0.62%),19.63 - 22.06,-,-592.55 (22219.45-21626.90),-2161.00 (288.15-374.59 = 86.44) 22200PE 13:38:00,4400.00 (310-134 = -176.00) 22200CE,4400.00 (310-134 = -176.00) 22200CE,-1250.00 (288.15-338.15 = 50.00) 22200PE 13:30:00,
17 Aug 2020 (Mon),-2500,14:38,2084/-2939,Stop Loss Hit,227.55 (1.05%),22.27 - 21.47,-,-48.40 (21611.90-21563.50),-2261.75 (301.55-392.02 = 90.47) 21600PE 14:12:00,286.25 (309.15-297.7 = -11.45) 21600CE,286.25 (309.15-297.7 = -11.45) 21600CE,-1250.00 (301.55-351.55 = 50.00) 21600PE 14:11:00,
18 Aug 2020 (Tue),6859,14:55,7010/-940,-,1.15 (0.01%),20.74 - 20.53,-,433.85 (21762.00-22195.85),4841.25 (273.65-80 = -193.65) 21800PE,-1572.75 (209.7-272.61 = 62.91) 21800CE 13:33:00,-1250.00 (209.7-259.7 = 50.00) 21800CE 13:33:00,4841.25 (273.65-80 = -193.65) 21800PE,
19 Aug 2020 (Wed),1796,14:55,1871/0,-,144.8 (0.65%),20.13 - 19.94,Day Open > PDH,17.65 (22322.60-22340.25),1278.75 (181.4-130.25 = -51.15) 22300PE,488.75 (198.5-178.95 = -19.55) 22300CE,-1250.00 (198.5-248.5 = 50.00) 22300CE 14:00:00,1278.75 (181.4-130.25 = -51.15) 22300PE,
20 Aug 2020 (Thu),2470,14:55,3162/-726,-,-296 (-1.33%),20.52 - 20.64,Day Open < PDL,-21.45 (22038.35-22016.90),-700.00 (93.35-121.35 = 28.00) 22000PE 12:36:00,2210.00 (113.65-25.25 = -88.40) 22000CE,2210.00 (113.65-25.25 = -88.40) 22000CE,-1250.00 (93.35-143.35 = 50.00) 22000PE 12:36:00,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
21 Aug 2020 (Fri),1540,14:55,2054/-94,-,191.25 (0.87%),19.81 - 20.16,Day Open > PDH,31.85 (22293.75-22325.60),570.00 (301.25-278.45 = -22.80) 22300PE,200.00 (285.5-277.5 = -8.00) 22300CE,200.00 (285.5-277.5 = -8.00) 22300CE,570.00 (301.25-278.45 = -22.80) 22300PE,
24 Aug 2020 (Mon),1770,14:55,2523/-1835,-,137.25 (0.62%),19.77 - 19.39,Day Open > PDH,197.65 (22662.05-22859.70),2250.00 (265.05-175.05 = -90.00) 22700PE,-1479.50 (197.25-256.43 = 59.18) 22700CE 11:53:00,-1250.00 (197.25-247.25 = 50.00) 22700CE 11:45:00,2250.00 (265.05-175.05 = -90.00) 22700PE,
25 Aug 2020 (Tue),-2500,13:17,2140/-4996,Stop Loss Hit,140.4 (0.61%),18.83 - 19.22,Day Open > PDH,-28.70 (23071.15-23042.45),-1762.25 (234.95-305.44 = 70.49) 23100PE 10:40:00,-252.50 (208-218.1 = 10.10) 23100CE,-252.50 (208-218.1 = 10.10) 23100CE,-1250.00 (234.95-284.95 = 50.00) 23100PE 10:39:00,
26 Aug 2020 (Wed),3684,14:55,4178/-384,-,83.4 (0.36%),19.58 - 19.43,-,129.50 (23253.80-23383.30),3026.25 (226.95-105.9 = -121.05) 23300PE,-1117.50 (149-193.7 = 44.70) 23300CE 14:51:00,-1250.00 (149-199 = 50.00) 23300CE 14:51:00,3026.25 (226.95-105.9 = -121.05) 23300PE,
27 Aug 2020 (Thu),4415,14:55,4569/-74,-,97.25 (0.42%),19.34 - 18.94,Day Open > PDH,67.30 (23593.70-23661.00),2265.00 (96.6-6 = -90.60) 23600PE,-690.00 (92-119.6 = 27.60) 23600CE 12:24:00,575.00 (92-69 = -23.00) 23600CE,2265.00 (96.6-6 = -90.60) 23600PE,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
28 Aug 2020 (Fri),-2500,10:30,5255/-2761,Stop Loss Hit,34.95 (0.15%),18.37 - 18.52,-,503.45 (23927.40-24430.85),345.00 (324.5-310.7 = -13.80) 23900PE,-2201.25 (293.5-381.55 = 88.05) 23900CE 10:30:00,-1250.00 (293.5-343.5 = 50.00) 23900CE 10:29:00,345.00 (324.5-310.7 = -13.80) 23900PE,
31 Aug 2020 (Mon),10628,14:55,11321/-1201,-,515 (2.1%),18.72 - 22.61,Day Open > PDH,-1150.55 (24790.40-23639.85),-3061.50 (408.2-530.66 = 122.46) 24800PE 10:19:00,7470.00 (410.25-111.45 = -298.80) 24800CE,7470.00 (410.25-111.45 = -298.80) 24800CE,-1250.00 (408.2-458.2 = 50.00) 24800PE 10:00:00,
1 Sep 2020 (Tue),-2500,11:37,3885/-8874,Stop Loss Hit,139.45 (0.59%),23.06 - 21.99,-,-176.85 (23807.70-23630.85),-3265.50 (435.4-566.02 = 130.62) 23800PE 11:15:00,398.75 (460.6-444.65 = -15.95) 23800CE,398.75 (460.6-444.65 = -15.95) 23800CE,-1250.00 (435.4-485.4 = 50.00) 23800PE 10:00:00,
2 Sep 2020 (Wed),-2500,11:15,3431/-6487,Stop Loss Hit,-43 (-0.18%),21.78 - 21.21,-,169.10 (23700.95-23870.05),-2185.75 (291.45-378.88 = 87.43) 23700PE 10:25:00,341.25 (284.6-270.95 = -13.65) 23700CE,341.25 (284.6-270.95 = -13.65) 23700CE,-1250.00 (291.45-341.45 = 50.00) 23700PE 10:20:00,
3 Sep 2020 (Thu),-615,14:55,818/-2156,-,111.6 (0.47%),20.74 - 20.38,Day Open > PDH,-110.05 (23755.45-23645.40),-923.50 (123.15-160.09 = 36.94) 23800PE 11:32:00,-684.00 (91.2-118.56 = 27.36) 23800CE 10:24:00,2242.50 (91.2-1.5 = -89.70) 23800CE,-1250.00 (123.15-173.15 = 50.00) 23800PE 11:32:00,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
4 Sep 2020 (Fri),-2500,14:49,3854/-3930,Stop Loss Hit,-411.7 (-1.75%),21.77 - 22.36,Day Open < PDL,-91.90 (23131.35-23039.45),-3143.50 (419.15-544.89 = 125.74) 23100PE 14:49:00,2712.50 (451.15-342.65 = -108.50) 23100CE,-1250.00 (451.15-501.15 = 50.00) 23100CE 12:55:00,-1250.00 (419.15-469.15 = 50.00) 23100PE 14:40:00,
7 Sep 2020 (Mon),3566,14:55,5105/-176,-,24.75 (0.11%),22.88 - 22.5,-,-244.80 (23040.85-22796.05),-2639.00 (351.85-457.41 = 105.56) 23000PE 14:35:00,3727.50 (393.1-244 = -149.10) 23000CE,3727.50 (393.1-244 = -149.10) 23000CE,-1250.00 (351.85-401.85 = 50.00) 23000PE 10:53:00,
8 Sep 2020 (Tue),-194,14:55,2168/-983,-,26.15 (0.11%),21.99 - 22.11,-,-100.40 (22888.90-22788.50),-392.50 (299.35-315.05 = 15.70) 22900PE,1840.00 (286.6-213 = -73.60) 22900CE,-1250.00 (286.6-336.6 = 50.00) 22900CE 10:31:00,-392.50 (299.35-315.05 = 15.70) 22900PE,
9 Sep 2020 (Wed),1923,14:55,4070/-326,-,-257.7 (-1.13%),23.05 - 22.47,Day Open < PDL,-120.95 (22297.00-22176.05),-1643.75 (219.15-284.9 = 65.75) 22300PE 13:00:00,2408.75 (241.55-145.2 = -96.35) 22300CE,2408.75 (241.55-145.2 = -96.35) 22300CE,-1250.00 (219.15-269.15 = 50.00) 22300PE 13:00:00,
10 Sep 2020 (Thu),-2500,13:25,1551/-3929,Stop Loss Hit,199.55 (0.9%),21.43 - 21.25,-,-30.15 (22417.30-22387.15),-629.75 (83.95-109.14 = 25.19) 22400PE 13:25:00,-801.75 (106.9-138.97 = 32.07) 22400CE 10:39:00,-1250.00 (106.9-156.9 = 50.00) 22400CE 10:43:00,-125.00 (83.95-88.95 = 5.00) 22400PE,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
11 Sep 2020 (Fri),-2500,13:10,1434/-3252,Stop Loss Hit,43.75 (0.19%),21.32 - 20.83,-,-24.10 (22383.80-22359.70),-2173.75 (363-449.95 = 86.95) 22400PE,1478.75 (352-292.85 = -59.15) 22400CE,-1250.00 (352-402 = 50.00) 22400CE 10:55:00,-1250.00 (363-413 = 50.00) 22400PE 13:10:00,
14 Sep 2020 (Mon),3556,14:55,5353/-1169,-,203.4 (0.9%),20.63 - 21.19,Day Open > PDH,-386.75 (22553.75-22167.00),-2121.50 (282.85-367.71 = 84.86) 22600PE 13:15:00,3463.75 (329.05-190.5 = -138.55) 22600CE,3463.75 (329.05-190.5 = -138.55) 22600CE,-1250.00 (282.85-332.85 = 50.00) 22600PE 13:15:00,
15 Sep 2020 (Tue),-1542,14:55,1441/-2271,-,101.55 (0.46%),20.82 - 20.65,-,196.60 (22236.00-22432.60),3487.50 (281.45-141.95 = -139.50) 22200PE,-2529.75 (337.3-438.49 = 101.19) 22200CE 14:38:00,-1250.00 (337.3-387.3 = 50.00) 22200CE 14:30:00,-1250.00 (281.45-331.45 = 50.00) 22200PE 10:05:00,
16 Sep 2020 (Wed),-2500,13:44,1421/-5711,Stop Loss Hit,10.65 (0.05%),20.39 - 19.75,-,146.20 (22461.60-22607.80),-1685.25 (224.7-292.11 = 67.41) 22500PE 11:12:00,207.50 (203.5-195.2 = -8.30) 22500CE,207.50 (203.5-195.2 = -8.30) 22500CE,-1250.00 (224.7-274.7 = 50.00) 22500PE 11:12:00,
17 Sep 2020 (Thu),-2500,11:45,2676/-3560,Stop Loss Hit,-221.55 (-0.98%),19.89 - 20.15,-,-29.05 (22378.80-22349.75),-438.75 (112.05-129.6 = 17.55) 22400PE,-765.00 (102-132.6 = 30.60) 22400CE 10:31:00,-1250.00 (102-152 = 50.00) 22400CE 10:40:00,-438.75 (112.05-129.6 = 17.55) 22400PE,
,,,,,,,,,,,,,
Date,Profit,Exit Time,Max Profit/Loss,MTM Exit Type,BN Gap Up/Down,India VIX,BN Prev Day H/L,Spot Change,(1) BN Sell 1 Lot ATM PE,(2) BN Sell 1 Lot ATM CE,(3) BN Sell 1 Lot ATM CE,(4) BN Sell 1 Lot ATM PE,
18 Sep 2020 (Fri),4256,14:55,6130/-1469,-,119 (0.53%),19.54 - 20.31,-,-411.10 (22404.45-21993.35),-2406.00 (320.8-417.04 = 96.24) 22400PE 14:20:00,3956.25 (384.65-226.4 = -158.25) 22400CE,3956.25 (384.65-226.4 = -158.25) 22400CE,-1250.00 (320.8-370.8 = 50.00) 22400PE 10:41:00,
21 Sep 2020 (Mon),-2500,13:39,1122/-2756,Stop Loss Hit,-47.65 (-0.22%),20.3 - 21.81,-,-439.55 (21914.10-21474.55),-1475.00 (321-380 = 59.00) 21900PE,1405.00 (345-288.8 = -56.20) 21900CE,-1250.00 (345-395 = 50.00) 21900CE 10:23:00,-1250.00 (321-371 = 50.00) 21900PE 13:39:00,
22 Sep 2020 (Tue),-2500,10:48,2858/-7379,Stop Loss Hit,78.45 (0.37%),22.7 - 21.71,-,-145.15 (21228.05-21082.90),683.75 (291.35-264 = -27.35) 21200PE,-2694.00 (359.2-466.96 = 107.76) 21200CE 10:06:00,-1250.00 (359.2-409.2 = 50.00) 21200CE 10:05:00,683.75 (291.35-264 = -27.35) 21200PE,
23 Sep 2020 (Wed),-327,14:55,4339/-1175,-,211.7 (1%),20.68 - 21.21,-,4.75 (21156.10-21160.85),-1575.00 (210-273 = 63.00) 21200PE 13:41:00,1248.75 (197-147.05 = -49.95) 21200CE,1248.75 (197-147.05 = -49.95) 21200CE,-1250.00 (210-260 = 50.00) 21200PE 13:41:00,
